file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
064442001.png,16,0.8265373,1136.2573,181.85074,1430.8477,181.85074,1430.8477,498.88733,1136.2573,498.88733
064442001.png,28,0.056861166,1136.2573,181.85074,1430.8477,181.85074,1430.8477,498.88733,1136.2573,498.88733
064507368.png,16,0.3018033,495.12552,125.704735,760.9917,125.704735,760.9917,427.82285,495.12552,427.82285
064507368.png,22,0.6140048,1051.237,0.0,1247.8082,0.0,1247.8082,194.53735,1051.237,194.53735
064507368.png,24,0.14399956,1051.237,0.0,1247.8082,0.0,1247.8082,194.53735,1051.237,194.53735
064507368.png,24,0.12754583,495.12552,125.704735,760.9917,125.704735,760.9917,427.82285,495.12552,427.82285
064507368.png,25,0.088703796,495.12552,125.704735,760.9917,125.704735,760.9917,427.82285,495.12552,427.82285
064507368.png,26,0.1738257,495.12552,125.704735,760.9917,125.704735,760.9917,427.82285,495.12552,427.82285
064507368.png,27,0.09389536,1051.237,0.0,1247.8082,0.0,1247.8082,194.53735,1051.237,194.53735
064507368.png,28,0.13960408,495.12552,125.704735,760.9917,125.704735,760.9917,427.82285,495.12552,427.82285
064507368.png,28,0.10420652,1051.237,0.0,1247.8082,0.0,1247.8082,194.53735,1051.237,194.53735
065131036.png,3,0.90014124,1108.4819,56.540325,1361.2716,56.540325,1361.2716,314.74048,1108.4819,314.74048
065131036.png,27,0.85968256,840.18567,437.3637,1170.5615,437.3637,1170.5615,860.02325,840.18567,860.02325
065131036.png,29,0.08121928,1108.971,57.251637,1361.2395,57.251637,1361.2395,314.04623,1108.971,314.04623
065147868.png,16,0.9559494,727.48724,190.16373,1012.5539,190.16373,1012.5539,498.8159,727.48724,498.8159
065203472.png,8,0.99710304,537.3141,762.9864,830.06323,762.9864,830.06323,1039.101,537.3141,1039.101
065223169.png,16,0.47882986,737.7033,161.6562,1017.37915,161.6562,1017.37915,462.90692,737.7033,462.90692
065223169.png,25,0.19918703,737.7033,161.6562,1017.37915,161.6562,1017.37915,462.90692,737.7033,462.90692
065223169.png,26,0.10269737,737.7033,161.6562,1017.37915,161.6562,1017.37915,462.90692,737.7033,462.90692
065223169.png,28,0.108046144,737.7033,161.6562,1017.37915,161.6562,1017.37915,462.90692,737.7033,462.90692
065330905.png,33,0.97898096,788.946,484.31967,1062.3784,484.31967,1062.3784,769.455,788.946,769.455
065331262.png,33,0.9942683,876.6041,696.3394,1169.364,696.3394,1169.364,1000.02386,876.6041,1000.02386
065425441.png,3,0.8752387,1079.9249,39.775597,1331.4786,39.775597,1331.4786,298.1944,1079.9249,298.1944
065425441.png,29,0.12164164,1080.4292,39.925865,1331.3689,39.925865,1331.3689,297.81647,1080.4292,297.81647
065714256.png,16,0.93098676,800.64026,291.50403,1093.6312,291.50403,1093.6312,611.8841,800.64026,611.8841
065750973.png,8,0.9651281,385.1476,327.46414,634.4363,327.46414,634.4363,567.1549,385.1476,567.1549
070016143.png,10,0.99964046,484.30728,710.5093,771.0203,710.5093,771.0203,985.49475,484.30728,985.49475
070203878.png,22,0.9588845,265.17264,0.0,614.36237,0.0,614.36237,319.1777,265.17264,319.1777
070203878.png,25,0.99755967,1349.6915,633.25714,1663.8065,633.25714,1663.8065,964.84357,1349.6915,964.84357
070305203.png,21,0.16472258,720.7294,88.98967,984.0988,88.98967,984.0988,386.27524,720.7294,386.27524
070305203.png,22,0.081246234,720.7294,88.98967,984.0988,88.98967,984.0988,386.27524,720.7294,386.27524
070305203.png,25,0.1770192,720.7294,88.98967,984.0988,88.98967,984.0988,386.27524,720.7294,386.27524
070305203.png,27,0.47998792,720.7294,88.98967,984.0988,88.98967,984.0988,386.27524,720.7294,386.27524
070305203.png,28,0.052337114,721.0957,90.00561,983.33734,90.00561,983.33734,379.81857,721.0957,379.81857
070326639.png,8,0.9851849,416.84604,494.5973,681.27905,494.5973,681.27905,745.65735,416.84604,745.65735
070537535.png,4,0.7374366,339.62985,146.27301,583.2648,146.27301,583.2648,411.47668,339.62985,411.47668
070537535.png,22,0.05990213,340.2277,146.48271,583.1162,146.48271,583.1162,411.3059,340.2277,411.3059
070537535.png,23,0.06794415,340.2277,146.48271,583.1162,146.48271,583.1162,411.3059,340.2277,411.3059
070537535.png,29,0.09453271,340.2277,146.48271,583.1162,146.48271,583.1162,411.3059,340.2277,411.3059
070638309.png,3,0.9878243,1033.809,84.936775,1288.6118,84.936775,1288.6118,344.66473,1033.809,344.66473
070924581.png,16,0.9783387,454.57394,498.84998,754.32623,498.84998,754.32623,831.9612,454.57394,831.9612
